stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDPV-212,Fancy Colour,INTENSE PINK,ROUND,0.99,Under 1ct,VS2,ID,EX,EX,6.37 - 6.39 * 3.94,61.8,57.0,1.0,IGI,791642836,https://api.igi.org/viewpdf.php?r=791642836,https://workshop.360view.link/360viewer/360view.html?d=3004265-PV-212-PR
PDPV-217,Fancy Colour,FANCY PINK,ROUND,0.98,Under 1ct,VS2,EX,EX,EX,6.38 - 6.42 * 3.85,60.1,59.0,0.99,IGI,790653241,https://api.igi.org/viewpdf.php?r=790653241,https://workshop.360view.link/360viewer/360view.html?d=3004264-PV-217-PR
PDPV-200,Fancy Colour,FANCY PINK,ROUND,0.97,Under 1ct,VVS1,ID,EX,EX,6.42 - 6.47 * 3.84,59.6,57.0,0.99,IGI,790652649,https://api.igi.org/viewpdf.php?r=790652649,https://workshop.360view.link/360viewer/360view.html?d=0105267-PV-200
PDPV-208,Fancy Colour,INTENSE PINK,ROUND,0.97,Under 1ct,VS1,ID,EX,EX,6.33 - 6.35 * 3.90,61.5,58.0,1.0,IGI,791642832,https://api.igi.org/viewpdf.php?r=791642832,https://workshop.360view.link/360viewer/360view.html?d=3004268-PV-208-PR
PDPV-224,Fancy Colour,LIGHT PINK,ROUND,0.97,Under 1ct,VS1,ID,EX,EX,6.29 - 6.32 * 3.89,61.6,59.0,1.0,IGI,801685169,https://api.igi.org/viewpdf.php?r=801685169,https://workshop.360view.link/360viewer/360view.html?d=1706268-PV-224-PR
PDPV-193,Fancy Colour,VIVID PINK,ROUND,0.96,Under 1ct,VS2,ID,EX,EX,6.36 - 6.38 * 3.84,60.4,60.0,1.0,IGI,788685941,https://api.igi.org/viewpdf.php?r=788685941,https://workshop.360view.link/360viewer/360view.html?d=3004266-PV-193-PR
PDPV-203,Fancy Colour,INTENSE PINK,ROUND,0.96,Under 1ct,VS2,ID,EX,EX,6.32 - 6.34 * 3.88,61.3,59.0,1.0,IGI,791642827,https://api.igi.org/viewpdf.php?r=791642827,https://workshop.360view.link/360viewer/360view.html?d=3004261-PV-203-PR
PDPV-223,Fancy Colour,FANCY LIGHT PINK,ROUND,0.96,Under 1ct,VS1,ID,EX,EX,6.35 - 6.39 * 3.90,61.2,58.0,0.99,IGI,801685168,https://api.igi.org/viewpdf.php?r=801685168,https://workshop.360view.link/360viewer/360view.html?d=1706264-PV-223-PR
PDPV-184,Fancy Colour,INTENSE PINK,ROUND,0.95,Under 1ct,VS1,EX,VG,VG,6.19 - 6.26 * 3.89,62.4,59.0,0.99,IGI,782621271,https://api.igi.org/viewpdf.php?r=782621271,https://workshop.360view.link/360viewer/360view.html?d=3003266-PV-184
PDPV-195,Fancy Colour,INTENSE PINK,ROUND,0.95,Under 1ct,VVS2,EX,EX,EX,6.24 - 6.26 * 3.92,62.7,58.0,1.0,IGI,791642348,https://api.igi.org/viewpdf.php?r=791642348,https://workshop.360view.link/360viewer/360view.html?d=2704263-PV-195
