stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
760-17,White,F,Round,3.05,3.00–4.99ct,VS1,IDEAL,EX,EX,9.34 X 9.41 X 5.67,60.5,58,0.99,IGI,819696674,https://api.igi.org/viewpdf.php?r=819696674,
D-5,Fancy Colour,Fancy Vivid Pink,Pear,25.03,10ct +,VS1,,EX,EX,22.71 X 14.64 X 9.44,64.5,64,1.55,IGI,788606730,https://api.igi.org/viewpdf.php?r=788606730,
D-2,Fancy Colour,Fancy Intense Blue,Pear,23.13,10ct +,VS1,,EX,EX,25.03 X 15.88 X 8.25,52,62,1.58,IGI,779607501,https://api.igi.org/viewpdf.php?r=779607501,
759-591,White,E,Round,2.55,2.00–2.99ct,VS2,IDEAL,EX,EX,8.68 X 8.73 X 5.43,62.4,59,0.99,IGI,819696607,https://api.igi.org/viewpdf.php?r=819696607,
761-16,White,E,Round,2.54,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.77 X 8.81 X 5.39,61.3,58,1,IGI,823684141,https://api.igi.org/viewpdf.php?r=823684141,
760-729,White,E,Round,2.54,2.00–2.99ct,VS1,IDEAL,EX,EX,8.84 X 8.88 X 5.3,59.8,58,1,IGI,821689322,https://api.igi.org/viewpdf.php?r=821689322,
758-50,White,D,Round,2.5,2.00–2.99ct,VS1,IDEAL,EX,EX,8.65 X 8.72 X 5.42,62.4,56,0.99,IGI,815680856,https://api.igi.org/viewpdf.php?r=815680856,
758-512,White,E,Round,2.49,2.00–2.99ct,VS1,IDEAL,EX,EX,8.65 X 8.74 X 5.27,60.6,59,0.99,IGI,823643369,https://api.igi.org/viewpdf.php?r=823643369,
758-271,White,E,Round,2.4,2.00–2.99ct,VS1,IDEAL,EX,EX,8.55 X 8.59 X 5.28,61.6,58,1,IGI,817605902,https://api.igi.org/viewpdf.php?r=817605902,
749-57,White,E,Round,2.36,2.00–2.99ct,VS1,EX,EX,EX,8.45 X 8.52 X 5.33,62.8,57,0.99,IGI,790622155,https://api.igi.org/viewpdf.php?r=790622155,
739-390,White,E,Round,2.36,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.53 X 8.59 X 5.23,61.1,59,0.99,IGI,779665150,https://api.igi.org/viewpdf.php?r=779665150,
756-51,White,F,Round,2.32,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.52 X 8.56 X 5.2,60.9,59,1,IGI,803618076,https://api.igi.org/viewpdf.php?r=803618076,
750-90,White,F,Round,2.31,2.00–2.99ct,VS1,IDEAL,EX,EX,8.46 X 8.5 X 5.2,61.3,58,1,IGI,790622102,https://api.igi.org/viewpdf.php?r=790622102,
763-17,White,D,Round,2.26,2.00–2.99ct,VS1,IDEAL,EX,EX,8.46 X 8.49 X 5.23,61.7,57,1,IGI,824615645,https://api.igi.org/viewpdf.php?r=824615645,
746-32,White,F,Round,2.24,2.00–2.99ct,VS1,IDEAL,EX,EX,8.44 X 8.48 X 5.18,61.3,57,1,IGI,786622099,https://api.igi.org/viewpdf.php?r=786622099,
760-570,White,F,Round,2.23,2.00–2.99ct,VS2,IDEAL,EX,EX,8.36 X 8.45 X 5.15,61.3,59,0.99,IGI,821689326,https://api.igi.org/viewpdf.php?r=821689326,
746-3,White,F,Round,2.23,2.00–2.99ct,VS1,IDEAL,EX,EX,8.34 X 8.39 X 5.17,61.7,58,0.99,IGI,786622097,https://api.igi.org/viewpdf.php?r=786622097,
760-20,White,E,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.44 X 8.48 X 5.12,60.6,57,1,IGI,818696484,https://api.igi.org/viewpdf.php?r=818696484,
761-211,White,F,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.38 X 8.43 X 5.14,61.2,59,0.99,IGI,824615695,https://api.igi.org/viewpdf.php?r=824615695,
MA135-1-249,Fancy Colour,Fancy Vivid Pink,Cushion,11.11,10ct +,VS1,,EX,EX,16.07 X 9.79 X 6.21,65,63,1.64,IGI,629471133,https://api.igi.org/viewpdf.php?r=629471133,
MA135-1-248,Fancy Colour,Fancy Vivid Pink,Cushion,11.11,10ct +,VS2,,EX,EX,15.82 X 9.71 X 5.86,65.2,63,1.63,IGI,629471134,https://api.igi.org/viewpdf.php?r=629471134,
746-543,White,F,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.4 X 8.42 X 5.13,61,58,1,IGI,786622096,https://api.igi.org/viewpdf.php?r=786622096,
760-434,White,F,Round,2.22,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.34 X 8.38 X 5.19,62.1,58,1,IGI,821689329,https://api.igi.org/viewpdf.php?r=821689329,
749-12,Fancy Colour,Fancy Vivid Pink,Radiant,10.06,10ct +,VVS2,,EX,EX,15.05 X 10.68 X 7.19,67.3,66,1.41,IGI,802623608,https://api.igi.org/viewpdf.php?r=802623608,
746-8,White,F,Round,2.22,2.00–2.99ct,VS1,IDEAL,EX,EX,8.33 X 8.38 X 5.2,62.3,57,0.99,IGI,784678341,https://api.igi.org/viewpdf.php?r=784678341,
747-8,White,F,Round,2.21,2.00–2.99ct,VS1,IDEAL,EX,EX,8.33 X 8.4 X 5.12,61.1,59,0.99,IGI,786622095,https://api.igi.org/viewpdf.php?r=786622095,
760-47,White,E,Round,2.21,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.28 X 8.35 X 5.19,62.5,58,0.99,IGI,818611647,https://api.igi.org/viewpdf.php?r=818611647,
759-438,White,F,Round,2.21,2.00–2.99ct,VVS2,EX,EX,EX,8.32 X 8.39 X 5.14,61.4,60,0.99,IGI,817675063,https://api.igi.org/viewpdf.php?r=817675063,
760-16,White,E,Round,2.21,2.00–2.99ct,VS1,EX,EX,EX,8.38 X 8.42 X 5.12,61.1,59,1,IGI,821689324,https://api.igi.org/viewpdf.php?r=821689324,
746-259,White,F,Round,2.21,2.00–2.99ct,VS1,IDEAL,EX,EX,8.37 X 8.42 X 5.11,60.9,59,0.99,IGI,784678215,https://api.igi.org/viewpdf.php?r=784678215,
760-48,White,E,Round,2.2,2.00–2.99ct,VVS2,EX,EX,EX,8.25 X 8.29 X 5.19,62.7,58,1,IGI,819696601,https://api.igi.org/viewpdf.php?r=819696601,
743-490,White,E,Round,2.2,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.29 X 8.34 X 5.17,62.2,58,0.99,IGI,784678217,https://api.igi.org/viewpdf.php?r=784678217,
757-12,Fancy Colour,Fancy Vivid Pink,Radiant,10.03,10ct +,VVS2,,EX,EX,15.66 X 10.55 X 6.73,63.8,75,1.48,IGI,815671327,https://api.igi.org/viewpdf.php?r=815671327,
763-20,White,E,Round,2.2,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.31 X 8.33 X 5.15,61.9,57,1,IGI,824615693,https://api.igi.org/viewpdf.php?r=824615693,
760-29,White,E,Round,2.2,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.36 X 8.4 X 5.2,62,56,1,IGI,818696485,https://api.igi.org/viewpdf.php?r=818696485,
749-20,Fancy Colour,Fancy Intense Pink,Oval,10.03,10ct +,VVS2,,EX,EX,17.93 X 12.32 X 7.45,60.5,59,1.46,IGI,802623607,https://api.igi.org/viewpdf.php?r=802623607,
746-7,White,F,Round,2.2,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.27 X 8.32 X 5.15,62.1,58,0.99,IGI,784678214,https://api.igi.org/viewpdf.php?r=784678214,
749-14,Fancy Colour,Fancy Vivid Pink,Oval,10.02,10ct +,VVS2,,EX,EX,18.22 X 12.19 X 7.44,61,59,1.49,IGI,807660754,https://api.igi.org/viewpdf.php?r=807660754,
761-8,White,E,Round,2.2,2.00–2.99ct,VS1,IDEAL,EX,EX,8.32 X 8.36 X 5.11,61.2,60,1,IGI,823684140,https://api.igi.org/viewpdf.php?r=823684140,
757-6,Fancy Colour,Fancy Vivid Pink,Radiant,10.02,10ct +,VS1,,EX,EX,15.92 X 10.78 X 6.54,60.7,79,1.48,IGI,813658037,https://api.igi.org/viewpdf.php?r=813658037,
749-9,Fancy Colour,Fancy Intense Pink,Radiant,10.02,10ct +,VVS2,,EX,EX,15.82 X 10.51 X 6.86,65.3,64,1.51,IGI,802623609,https://api.igi.org/viewpdf.php?r=802623609,
749-69,White,G,Round,2.2,2.00–2.99ct,VS1,IDEAL,EX,EX,8.43 X 8.45 X 5.1,60.5,58,1,IGI,786694187,https://api.igi.org/viewpdf.php?r=786694187,
757-7,Fancy Colour,Fancy Vivid Pink,Pear,10.01,10ct +,VS1,,EX,EX,19.37 X 11.66 X 7.25,62.2,60,1.66,IGI,816632028,https://api.igi.org/viewpdf.php?r=816632028,
749-3,Fancy Colour,Fancy Intense Pink,Round,10.01,10ct +,VS1,IDEAL,EX,EX,13.99 X 14.05 X 8.3,59.2,59,1,IGI,807660755,https://api.igi.org/viewpdf.php?r=807660755,
760-314,White,E,Round,2.2,2.00–2.99ct,VVS2,EX,EX,EX,8.21 X 8.27 X 5.19,63,58,0.99,IGI,821689325,https://api.igi.org/viewpdf.php?r=821689325,
757-3,Fancy Colour,Fancy Vivid Pink,Pear,10.01,10ct +,VVS2,,EX,EX,20.45 X 12.17 X 7.08,58.2,62,1.68,IGI,815671326,https://api.igi.org/viewpdf.php?r=815671326,
755-57,White,E,Round,2.18,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.27 X 8.32 X 5.11,61.6,59,0.99,IGI,803618078,https://api.igi.org/viewpdf.php?r=803618078,
746-916,White,F,Round,2.12,2.00–2.99ct,VS1,IDEAL,EX,EX,8.25 X 8.29 X 5.06,61.1,58,1,IGI,786622094,https://api.igi.org/viewpdf.php?r=786622094,
742-25,White,F,Round,2.11,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.24 X 8.27 X 5.02,60.9,59,1,IGI,784678332,https://api.igi.org/viewpdf.php?r=784678332,
749-10,Fancy Colour,Fancy Vivid Pink,Radiant,10.01,10ct +,VVS2,,EX,EX,15.18 X 10.75 X 6.98,64.9,68,1.41,IGI,818696522,https://api.igi.org/viewpdf.php?r=818696522,
749-8,Fancy Colour,Fancy Vivid Pink,Radiant,10.01,10ct +,VS1,,EX,EX,15.14 X 10.63 X 7.25,68.2,65,1.42,IGI,816632029,https://api.igi.org/viewpdf.php?r=816632029,
756-8,Fancy Colour,Fancy Vivid Pink,Radiant,10,10ct +,VS1,,EX,EX,15.84 X 10.7 X 6.67,62.3,78,1.48,IGI,816632027,https://api.igi.org/viewpdf.php?r=816632027,
756-3,Fancy Colour,Fancy Vivid Pink,Radiant,10,10ct +,VS1,,EX,EX,15.08 X 10.84 X 6.94,64,71,1.39,IGI,813658032,https://api.igi.org/viewpdf.php?r=813658032,
757-1,Fancy Colour,Fancy Vivid Pink,Pear,10,10ct +,VVS2,,EX,VG,19.6 X 11.94 X 7.11,59.5,65,1.64,IGI,813658033,https://api.igi.org/viewpdf.php?r=813658033,
757-10,Fancy Colour,Fancy Vivid Pink,Radiant,10,10ct +,VS1,,EX,EX,15.94 X 10.62 X 6.76,63.7,66,1.5,IGI,813658035,https://api.igi.org/viewpdf.php?r=813658035,
749-2,Fancy Colour,Fancy Intense Pink,Round,10,10ct +,VVS2,IDEAL,EX,EX,13.87 X 13.95 X 8.49,61,57,0.99,IGI,795648085,https://api.igi.org/viewpdf.php?r=795648085,
757-13,Fancy Colour,Fancy Vivid Pink,Radiant,9.66,5.00–9.99ct,VS1,,EX,EX,15.55 X 10.66 X 6.97,65.4,67,1.46,IGI,813658027,https://api.igi.org/viewpdf.php?r=813658027,
756-2,Fancy Colour,Fancy Vivid Pink,Radiant,9.55,5.00–9.99ct,VVS2,,EX,EX,15.61 X 10.43 X 6.77,64.9,70,1.5,IGI,816632013,https://api.igi.org/viewpdf.php?r=816632013,
759-50,White,F,Round,2.06,2.00–2.99ct,VS2,IDEAL,EX,EX,8.08 X 8.12 X 5.06,62.5,58,1,IGI,815648705,https://api.igi.org/viewpdf.php?r=815648705,
749-15,Fancy Colour,Fancy Vivid Pink,Oval,9.5,5.00–9.99ct,VVS2,,EX,EX,17.19 X 12.25 X 7.36,60.1,64,1.4,IGI,817605946,https://api.igi.org/viewpdf.php?r=817605946,
746-149,White,G,Round,2.06,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.12 X 8.18 X 5.05,62,56,0.99,IGI,784678193,https://api.igi.org/viewpdf.php?r=784678193,
761-208,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.17 X 8.23 X 4.97,60.7,58,0.99,IGI,821689366,https://api.igi.org/viewpdf.php?r=821689366,
757-11,Fancy Colour,Fancy Vivid Pink,Radiant,9.48,5.00–9.99ct,VS1,,EX,EX,15.47 X 10.56 X 6.72,63.6,72,1.46,IGI,816632012,https://api.igi.org/viewpdf.php?r=816632012,
760-451,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.15 X 8.19 X 4.99,61.1,59,1,IGI,821689362,https://api.igi.org/viewpdf.php?r=821689362,
746-552,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.07 X 8.12 X 5.04,62.3,58,0.99,IGI,786622109,https://api.igi.org/viewpdf.php?r=786622109,
757-2,Fancy Colour,Fancy Vivid Pink,Radiant,9.02,5.00–9.99ct,VVS2,,EX,EX,15.13 X 9.62 X 6.98,72.6,69,1.57,IGI,813658026,https://api.igi.org/viewpdf.php?r=813658026,
760-46,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.09 X 8.14 X 5.04,62.2,58,0.99,IGI,817675125,https://api.igi.org/viewpdf.php?r=817675125,
735-5,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.23 X 8.3 X 5,60.6,58,0.99,IGI,774639272,https://api.igi.org/viewpdf.php?r=774639272,
760-26,White,E,Round,2.05,2.00–2.99ct,SI1,IDEAL,EX,EX,8.12 X 8.18 X 4.98,61.1,58,0.99,IGI,821689352,https://api.igi.org/viewpdf.php?r=821689352,
749-77,Fancy Colour,Fancy Vivid Pink,Radiant,8.03,5.00–9.99ct,VVS2,,EX,EX,14.49 X 9.68 X 6.59,68.1,65,1.5,IGI,807660749,https://api.igi.org/viewpdf.php?r=807660749,
737-9,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.22 X 8.27 X 4.98,60.4,59,0.99,IGI,774639273,https://api.igi.org/viewpdf.php?r=774639273,
761-423,White,E,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.19 X 8.23 X 5,60.9,58,1,IGI,823684113,https://api.igi.org/viewpdf.php?r=823684113,
760-171,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.13 X 8.17 X 5.02,61.5,58,1,IGI,818696464,https://api.igi.org/viewpdf.php?r=818696464,
760-226,White,F,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.18 X 8.22 X 4.98,60.7,59,1,IGI,821689353,https://api.igi.org/viewpdf.php?r=821689353,
760-232,White,F,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.17 X 8.2 X 5.02,61.4,57,1,IGI,821689357,https://api.igi.org/viewpdf.php?r=821689357,
738-82,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.18 X 8.22 X 5.02,61.2,57,1,IGI,779607504,https://api.igi.org/viewpdf.php?r=779607504,
742-3,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.23 X 8.29 X 4.96,60.1,59,0.99,IGI,784678337,https://api.igi.org/viewpdf.php?r=784678337,
746-1,White,G,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.19 X 8.23 X 4.97,60.5,58,1,IGI,786622093,https://api.igi.org/viewpdf.php?r=786622093,
754-81,White,G,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.13 X 8.16 X 5.04,61.9,58,1,IGI,795654656,https://api.igi.org/viewpdf.php?r=795654656,
757-15,Fancy Colour,Fancy Vivid Pink,Oval,5.05,5.00–9.99ct,VVS2,,EX,EX,13.98 X 9.94 X 5.96,60,58,1.41,IGI,815671319,https://api.igi.org/viewpdf.php?r=815671319,
755-416,White,G,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.12 X 8.15 X 5.03,61.9,58,1,IGI,803617955,https://api.igi.org/viewpdf.php?r=803617955,
749-19,Fancy Colour,Fancy Intense Pink,Round,5.04,5.00–9.99ct,VS1,IDEAL,EX,EX,10.89 X 10.96 X 6.75,61.7,58,0.99,IGI,807660748,https://api.igi.org/viewpdf.php?r=807660748,
760-24,White,F,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.1 X 8.19 X 5.01,61.7,59,0.99,IGI,821689356,https://api.igi.org/viewpdf.php?r=821689356,
759-212,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.18 X 8.22 X 4.98,60.7,59,1,IGI,817605927,https://api.igi.org/viewpdf.php?r=817605927,
761-155,White,F,Round,2.05,2.00–2.99ct,VS2,IDEAL,EX,EX,8.13 X 8.18 X 5.03,61.7,58,0.99,IGI,823643270,https://api.igi.org/viewpdf.php?r=823643270,
761-678,White,E,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.25 X 8.28 X 4.92,59.5,59,1,IGI,823684143,https://api.igi.org/viewpdf.php?r=823684143,
743-177,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.23 X 8.26 X 4.96,60.1,58,1,IGI,784678158,https://api.igi.org/viewpdf.php?r=784678158,
761-76,White,E,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.2 X 8.23 X 4.99,60.8,58,1,IGI,823643275,https://api.igi.org/viewpdf.php?r=823643275,
749-22,Fancy Colour,Fancy Pink,Round,5.02,5.00–9.99ct,VS1,IDEAL,EX,EX,10.99 X 11.05 X 6.73,61,58,0.99,IGI,795648086,https://api.igi.org/viewpdf.php?r=795648086,
761-158,White,E,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.07 X 8.12 X 5.06,62.5,57,0.99,IGI,824615633,https://api.igi.org/viewpdf.php?r=824615633,
748-4,Fancy Colour,Fancy Intense Pink,Round,5.02,5.00–9.99ct,VVS2,IDEAL,EX,EX,11.01 X 11.08 X 6.62,59.9,59,0.99,IGI,795648087,https://api.igi.org/viewpdf.php?r=795648087,
749-23,Fancy Colour,Fancy Intense Pink,Round,5.01,5.00–9.99ct,VS1,IDEAL,EX,EX,10.87 X 10.92 X 6.8,62.4,57,1,IGI,795648100,https://api.igi.org/viewpdf.php?r=795648100,
749-16,Fancy Colour,Fancy Intense Pink,Round,5.01,5.00–9.99ct,VS1,IDEAL,EX,EX,10.89 X 10.96 X 6.76,61.8,59,0.99,IGI,807660753,https://api.igi.org/viewpdf.php?r=807660753,
760-625,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.22 X 8.28 X 4.96,60.1,58,0.99,IGI,821689358,https://api.igi.org/viewpdf.php?r=821689358,
755-126,Fancy Colour,Fancy Vivid Pink,Radiant,5.01,5.00–9.99ct,VS1,,EX,EX,12.41 X 8.13 X 5.58,68.6,64,1.53,IGI,813658028,https://api.igi.org/viewpdf.php?r=813658028,
757-167,Fancy Colour,Fancy Vivid Pink,Oval,5.01,5.00–9.99ct,VVS2,,VG,EX,13.87 X 9.8 X 5.93,60.5,60,1.42,IGI,816632015,https://api.igi.org/viewpdf.php?r=816632015,
747-6,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.17 X 8.2 X 4.97,60.7,57,1,IGI,786694185,https://api.igi.org/viewpdf.php?r=786694185,
756-1,Fancy Colour,Fancy Vivid Pink,Radiant,5.01,5.00–9.99ct,VS2,,EX,EX,11.81 X 8.48 X 5.78,68.2,64,1.39,IGI,813658023,https://api.igi.org/viewpdf.php?r=813658023,
756-247,Fancy Colour,Fancy Vivid Pink,Radiant,5.01,5.00–9.99ct,VS2,,EX,EX,12.16 X 8.38 X 5.54,66.1,69,1.45,IGI,816632011,https://api.igi.org/viewpdf.php?r=816632011,
757-84,Fancy Colour,Fancy Vivid Pink,Radiant,5.01,5.00–9.99ct,VVS2,,EX,EX,12.13 X 8.43 X 5.66,67.1,66,1.44,IGI,818696500,https://api.igi.org/viewpdf.php?r=818696500,
736-307,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.14 X 8.17 X 5.04,61.8,58,1,IGI,771661674,https://api.igi.org/viewpdf.php?r=771661674,
746-22,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.13 X 8.16 X 5.03,61.7,59,1,IGI,786622107,https://api.igi.org/viewpdf.php?r=786622107,
760-27,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.24 X 8.28 X 4.95,60,59,1,IGI,821689354,https://api.igi.org/viewpdf.php?r=821689354,
632-126R,Fancy Colour,Fancy Intense Pink,Princess,5.01,5.00–9.99ct,VS1,,EX,EX,9.24 X 9.19 X 6.75,73,73,1.01,IGI,591359929,https://api.igi.org/viewpdf.php?r=591359929,
746-129R,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.10 X 8.14 X 5.05,62.2,57,1,IGI,784678196,https://api.igi.org/viewpdf.php?r=784678196,
749-94,Fancy Colour,Fancy Intense Pink,Round,5,5.00–9.99ct,VS1,IDEAL,EX,EX,10.9 X 10.95 X 6.67,61.1,58,1,IGI,795648097,https://api.igi.org/viewpdf.php?r=795648097,
756-11,Fancy Colour,Fancy Vivid Pink,Radiant,5,5.00–9.99ct,VS2,,EX,GD,12.18 X 8.08 X 5.57,68.9,74,1.51,IGI,815671318,https://api.igi.org/viewpdf.php?r=815671318,
757-14,Fancy Colour,Fancy Intense Pink,Round,5,5.00–9.99ct,VS2,IDEAL,EX,EX,11.07 X 11.1 X 6.63,59.8,59,1,IGI,815671323,https://api.igi.org/viewpdf.php?r=815671323,
756-120,Fancy Colour,Fancy Vivid Pink,Radiant,5,5.00–9.99ct,VS2,,EX,EX,12.01 X 8.48 X 5.67,66.9,69,1.42,IGI,815671322,https://api.igi.org/viewpdf.php?r=815671322,
749-367,Fancy Colour,Fancy Intense Pink,Round,5,5.00–9.99ct,VVS2,EX,EX,EX,10.93 X 10.97 X 6.72,61.4,59,1,IGI,807660751,https://api.igi.org/viewpdf.php?r=807660751,
756-14,Fancy Colour,Fancy Intense Pink,Round,5,5.00–9.99ct,VS1,IDEAL,EX,EX,10.94 X 11 X 6.72,61.2,57,0.99,IGI,815671324,https://api.igi.org/viewpdf.php?r=815671324,
755-13,Fancy Colour,Fancy Vivid Pink,Radiant,4.77,3.00–4.99ct,VS1,,EX,EX,12.01 X 8.21 X 5.55,67.6,67,1.46,IGI,813658025,https://api.igi.org/viewpdf.php?r=813658025,
760-544,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.2 X 8.22 X 5,60.9,58,1,IGI,821689355,https://api.igi.org/viewpdf.php?r=821689355,
746-135,White,G,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.12 X 8.16 X 5.03,61.8,59,1,IGI,784678227,https://api.igi.org/viewpdf.php?r=784678227,
757-251,Fancy Colour,Fancy Vivid Pink,Radiant,3.55,3.00–4.99ct,VS1,,EX,EX,11.28 X 7.54 X 5,66.3,65,1.5,IGI,813658024,https://api.igi.org/viewpdf.php?r=813658024,
683-2R,Fancy Colour,Fancy Intense Pink,Round,3.51,3.00–4.99ct,VVS2,IDEAL,EX,EX,9.69 X 9.74 X 6.01,61.9,57,0.99,IGI,652420840,https://api.igi.org/viewpdf.php?r=652420840,
691-3,Fancy Colour,Fancy Vivid Green,Round,3.48,3.00–4.99ct,VS1,IDEAL,EX,EX,9.63 X 9.68 X 6,62.1,57,0.99,IGI,712507174,https://api.igi.org/viewpdf.php?r=712507174,
747-280,White,G,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.19 X 8.24 X 4.97,60.5,60,0.99,IGI,790622097,https://api.igi.org/viewpdf.php?r=790622097,
747-139,Fancy Colour,Fancy Intense Pink,Round,3.03,3.00–4.99ct,VVS2,IDEAL,EX,EX,9.29 X 9.32 X 5.68,61.1,59,1,IGI,795648098,https://api.igi.org/viewpdf.php?r=795648098,
756-143,Fancy Colour,Fancy Intense Pink,Round,3.02,3.00–4.99ct,VS2,IDEAL,EX,EX,9.2 X 9.27 X 5.74,62.2,57,0.99,IGI,815671325,https://api.igi.org/viewpdf.php?r=815671325,
756-119,Fancy Colour,Fancy Intense Pink,Round,3.01,3.00–4.99ct,VS1,IDEAL,EX,EX,9.19 X 9.27 X 5.72,62,57,0.99,IGI,815671321,https://api.igi.org/viewpdf.php?r=815671321,
748-11,Fancy Colour,Fancy Intense Pink,Round,3.01,3.00–4.99ct,VS1,EX,EX,EX,9.14 X 9.2 X 5.68,61.9,59,0.99,IGI,795648088,https://api.igi.org/viewpdf.php?r=795648088,
ME-5,Fancy Colour,Fancy Intense Pink,Round,3,3.00–4.99ct,VS1,IDEAL,EX,EX,9.29 X 9.32 X 5.64,60.6,59,1,IGI,762530012,https://api.igi.org/viewpdf.php?r=762530012,
749-70,Fancy Colour,Fancy Intense Pink,Round,3,3.00–4.99ct,VVS2,IDEAL,EX,EX,9.24 X 9.29 X 5.71,61.6,57,0.99,IGI,795648099,https://api.igi.org/viewpdf.php?r=795648099,
740-24,Fancy Colour,Fancy Vivid Blue,Round,3,3.00–4.99ct,VVS2,EX,EX,EX,9.23 X 9.27 X 5.64,61,59,1,IGI,786694198,https://api.igi.org/viewpdf.php?r=786694198,
749-53,Fancy Colour,Fancy Intense Pink,Round,3,3.00–4.99ct,VVS2,EX,EX,EX,9.32 X 9.36 X 5.57,59.6,61,1,IGI,807660750,https://api.igi.org/viewpdf.php?r=807660750,
747-15,Fancy Colour,Fancy Pink,Round,2.9,2.00–2.99ct,VVS2,IDEAL,EX,EX,9.05 X 9.12 X 5.67,62.4,56,0.99,IGI,795647994,https://api.igi.org/viewpdf.php?r=795647994,
761-277,White,E,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.13 X 8.17 X 5.01,61.5,57,1,IGI,823684145,https://api.igi.org/viewpdf.php?r=823684145,
685-106,Fancy Colour,Fancy Intense Pink,Round,2.59,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.77 X 8.81 X 5.45,62,58,1,IGI,660422011,https://api.igi.org/viewpdf.php?r=660422011,
761-56,White,F,Round,2.05,2.00–2.99ct,VS1,IDEAL,EX,EX,8.15 X 8.19 X 5.04,61.8,57,1,IGI,823643274,https://api.igi.org/viewpdf.php?r=823643274,
736-438,White,F,Round,2.05,2.00–2.99ct,VVS2,IDEAL,EX,EX,8.14 X 8.17 X 5.01,61.5,57,1,IGI,771661671,https://api.igi.org/viewpdf.php?r=771661671,
760-196,White,F,Round,2.05,2.00–2.99ct,VVS1,IDEAL,EX,EX,8.14 X 8.18 X 5.03,61.6,57,1,IGI,821689364,https://api.igi.org/viewpdf.php?r=821689364,
740-378,Fancy Colour,Fancy Light Pink,Round,2.54,2.00–2.99ct,VS1,IDEAL,EX,EX,8.77 X 8.8 X 5.42,61.7,57,1,IGI,790622475,https://api.igi.org/viewpdf.php?r=790622475,
756-148,Fancy Colour,Fancy Intense Pink,Round,2.52,2.00–2.99ct,VS1,IDEAL,EX,EX,8.75 X 8.79 X 5.39,61.5,56,1,IGI,813657984,https://api.igi.org/viewpdf.php?r=813657984,
