stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDPV-237,Fancy Colour,VIVID PINK,OVAL,1.93,1.00–1.99ct,VVS2,,EX,EX,9.90 - 6.96 * 4.02,65.0,57.8,1.42,IGI,786626625,https://api.igi.org/viewpdf.php?r=786626625,https://workshop.360view.link/360viewer/360view.html?d=1704261-JP-106-PR
PDPV-238,Fancy Colour,VIVID PINK,OVAL,1.9,1.00–1.99ct,IF,,EX,EX,10.21 - 6.62 * 3.96,66.0,59.8,1.54,IGI,786626628,https://api.igi.org/viewpdf.php?r=786626628,https://workshop.360view.link/360viewer/360view.html?d=1704264-JP-110-PR
PDPV-244,Fancy Colour,VIVID PINK,OVAL,1.89,1.00–1.99ct,VS1,,EX,VG,9.41 - 6.90 * 4.04,58.6,65.0,1.36,IGI,786626749,https://api.igi.org/viewpdf.php?r=786626749,https://workshop.360view.link/360viewer/360view.html?d=1804267-pv-243-pr
PDPV-246,Fancy Colour,VIVID PINK,OVAL,1.79,1.00–1.99ct,VVS2,,EX,EX,9.74 - 6.72 * 3.85,57.3,65.0,1.45,IGI,786626629,https://api.igi.org/viewpdf.php?r=786626629,https://workshop.360view.link/360viewer/360view.html?d=3004263-PV-246
PDH-09,Fancy Colour,VIVID PINK,OVAL,1.67,1.00–1.99ct,VVS2,,EX,VG,9.51 - 6.52 * 3.78,58.0,63.0,1.46,IGI,758552697,https://api.igi.org/viewpdf.php?r=758552697,https://workshop.360view.link/360viewer/360view.html?d=0301262-PDH-09
PDPV-239,Fancy Colour,VIVID PINK,OVAL,1.36,1.00–1.99ct,VS1,,EX,EX,8.49 - 6.09 * 3.68,64.0,60.4,1.39,IGI,786626627,https://api.igi.org/viewpdf.php?r=786626627,https://workshop.360view.link/360viewer/360view.html?d=1704267-JP-109-PR
PDPV-241,Fancy Colour,VIVID PINK,OVAL,1.21,1.00–1.99ct,VVS2,,EX,EX,8.06 - 5.92 * 3.45,63.0,58.3,1.36,IGI,786626626,https://api.igi.org/viewpdf.php?r=786626626,https://workshop.360view.link/360viewer/360view.html?d=1704260-JP-108-PR
PDKP-2166,Fancy Colour,VIVID PINK,OVAL,0.93,Under 1ct,VS2,,VG,GOOD,6.74 - 4.97 * 3.42,68.8,61.0,1.36,IGI,784655014,https://api.igi.org/viewpdf.php?r=784655014,https://workshop.360view.link/360viewer/360view.html?d=0303263-KL-11-PR
PDKP-2389,Fancy Colour,VIVID PINK,OVAL,0.93,Under 1ct,VS2,,VG,VG,7.27 - 5.18 * 3.17,61.2,63.0,1.4,IGI,826604934,https://api.igi.org/viewpdf.php?r=826604934,https://workshop.360view.link/360viewer/360view.html?d=1508260-PDKP-2389
PDKP-2396,Fancy Colour,VIVID PINK,OVAL,0.89,Under 1ct,VS1,,VG,VG,6.79 - 4.76 * 3.29,69.1,61.0,1.43,IGI,826604941,https://api.igi.org/viewpdf.php?r=826604941,https://workshop.360view.link/360viewer/360view.html?d=1208260-PDKP-2396
